Source IP,Source Port,Destination IP,Destination Port,Flags
192.168.0.100,10629,104.26.6.95,443,PA
192.168.0.100,10629,104.26.6.95,443,PA
192.168.0.100,10561,35.190.80.1,443,A
192.168.0.100,10629,104.26.6.95,443,PA
3.233.158.25,443,192.168.0.100,10627,PA
192.168.0.100,10627,3.233.158.25,443,FA
3.233.158.25,443,192.168.0.100,10627,PA
3.233.158.25,443,192.168.0.100,10627,PA
192.168.0.100,10627,3.233.158.25,443,RA
3.233.158.25,443,192.168.0.100,10627,FA
192.168.0.100,10629,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10629,A
104.26.6.95,443,192.168.0.100,10629,PA
192.168.0.100,10629,104.26.6.95,443,A
192.168.0.100,10610,20.250.77.142,443,A
192.168.0.100,10480,20.199.120.85,443,PA
192.168.0.100,9444,64.233.167.188,5228,A
192.168.0.100,10480,20.199.120.85,443,PA
20.42.65.91,443,192.168.0.100,10692,RA
192.168.0.100,10696,2.20.13.197,443,A
2.20.13.197,443,192.168.0.100,10696,A
192.168.0.100,10689,35.190.80.1,443,A
35.190.80.1,443,192.168.0.100,10689,A
192.168.0.100,10629,104.26.6.95,443,PA
192.168.0.100,10629,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10629,PA
192.168.0.100,10629,104.26.6.95,443,A
104.26.6.95,443,192.168.0.100,10629,PA
192.168.0.100,10629,104.26.6.95,443,A
192.168.0.100,10629,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10629,PA
104.26.6.95,443,192.168.0.100,10629,A
192.168.0.100,10629,104.26.6.95,443,A
192.168.0.100,10629,104.26.6.95,443,PA
192.168.0.100,10629,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10629,A
104.26.6.95,443,192.168.0.100,10629,PA
104.26.6.95,443,192.168.0.100,10629,PA
192.168.0.100,10767,199.232.210.172,80,FA
192.168.0.100,10689,35.190.80.1,443,A
35.190.80.1,443,192.168.0.100,10689,R
192.168.0.100,10754,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10754,A
104.26.6.95,443,192.168.0.100,10754,PA
192.168.0.100,10754,104.26.6.95,443,A
104.26.6.95,443,192.168.0.100,10754,PA
192.168.0.100,10754,104.26.6.95,443,A
104.26.6.95,443,192.168.0.100,10754,PA
192.168.0.100,10754,104.26.6.95,443,A
192.168.0.100,10754,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10754,A
192.168.0.100,10466,104.18.32.47,443,A
104.18.32.47,443,192.168.0.100,10466,A
192.168.0.100,10754,104.26.6.95,443,PA
104.26.6.95,443,192.168.0.100,10754,A
104.26.6.95,443,192.168.0.100,10754,PA
192.168.0.100,10754,104.26.6.95,443,A
104.26.6.95,443,192.168.0.100,10754,PA
192.168.0.100,10824,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.100,10824,PA
172.67.73.98,443,192.168.0.100,10824,PA
192.168.0.100,10824,172.67.73.98,443,A
192.168.0.100,10824,172.67.73.98,443,PA
172.67.73.98,443,192.168.0.100,10824,A
192.168.0.100,10690,20.250.77.142,443,A
20.250.77.142,443,192.168.0.100,10690,A
172.67.73.98,443,192.168.0.100,10824,PA
192.168.0.100,10824,172.67.73.98,443,A
192.168.0.100,10768,35.190.80.1,443,PA
192.168.0.100,10768,35.190.80.1,443,PA
