Source IP,Source Port,Destination IP,Destination Port,Traffic Type,Timestamp
192.168.0.100,52415,192.229.221.95,80,Normal,2024-10-13 23:41:25.273245
192.168.0.100,52414,62.8.89.48,80,Normal,2024-10-13 23:41:25.287205
62.8.89.48,80,192.168.0.100,52414,Normal,2024-10-13 23:41:25.307184
192.168.0.100,52414,62.8.89.48,80,Normal,2024-10-13 23:41:25.321352
46.32.182.121,443,192.168.0.100,52245,Normal,2024-10-13 23:41:25.334317
192.229.221.95,80,192.168.0.100,52415,Normal,2024-10-13 23:41:25.419381
192.168.0.100,52415,192.229.221.95,80,Normal,2024-10-13 23:41:25.445312
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:41:25.615585
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:41:25.642505
192.168.0.100,51976,104.26.6.95,443,Normal,2024-10-13 23:41:25.663449
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:41:25.682398
192.168.0.100,51976,104.26.6.95,443,Normal,2024-10-13 23:41:25.702440
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:41:25.724383
192.168.0.100,52563,104.26.7.95,443,Normal,2024-10-13 23:55:56.172104
104.26.7.95,443,192.168.0.100,52563,Normal,2024-10-13 23:55:56.191299
104.26.7.95,443,192.168.0.100,52563,Normal,2024-10-13 23:55:56.568277
104.26.7.95,443,192.168.0.100,52563,Normal,2024-10-13 23:55:56.583239
104.26.7.95,443,192.168.0.100,52563,Normal,2024-10-13 23:55:56.597237
192.168.0.100,52563,104.26.7.95,443,Normal,2024-10-13 23:55:56.611196
192.168.0.100,52563,104.26.7.95,443,Normal,2024-10-13 23:55:56.625159
104.26.7.95,443,192.168.0.100,52563,Normal,2024-10-13 23:55:56.638124
192.168.0.100,52248,20.250.77.142,443,Normal,2024-10-13 23:55:59.939503
192.168.0.100,52577,62.8.89.17,80,SYN Flood,2024-10-13 23:56:03.529345
62.8.89.17,80,192.168.0.100,52577,Normal,2024-10-13 23:56:03.550251
192.168.0.100,52577,62.8.89.17,80,Normal,2024-10-13 23:56:03.564443
192.168.0.100,52577,62.8.89.17,80,Normal,2024-10-13 23:56:03.578375
